Name,RA,Dec,Con,OT,Other
WBL 330,171.645600,35.324800,UMA,G+,Rich=4; z=0.03401
WBL 331,171.996400,7.991200,LEO,G+,Rich=3; z=0.02120
WBL 332,172.014900,-1.225500,LEO,G+,Rich=3; z=0.04233
WBL 333,172.086500,27.424500,LEO,G+,Rich=3; z=0.03244
WBL 334,172.172000,9.074400,LEO,G+,Rich=7; z=0.02100
WBL 335,172.180700,20.774400,LEO,G+,Rich=3; z=0.02055
WBL 336,172.314600,-1.725700,LEO,G+,Rich=3
WBL 337,173.139400,-2.142900,LEO,G+,Rich=3
WBL 338,173.303000,19.773700,LEO,G+,Rich=3; z=0.03262
WBL 339,173.578600,49.040300,UMA,G+,Rich=4; z=0.03245
WBL 340,173.910200,54.890100,UMA,G+,Rich=6; z=0.01964
WBL 341,174.089200,-2.860100,LEO,G+,Rich=4; z=0.04513
WBL 342,174.226500,19.973200,LEO,G+,Rich=33; z=0.02138
WBL 343,174.477200,21.956400,LEO,G+,Rich=5; z=0.03046
WBL 344,174.828900,26.339600,LEO,G+,Rich=3; z=0.02277
WBL 345,174.907100,31.922900,UMA,G+,Rich=3; z=0.00896
WBL 346,175.015300,-0.877200,VIR,G+,Rich=3
WBL 347,175.073900,17.739500,LEO,G+,Rich=5; z=0.01131
WBL 348,175.351900,24.822700,LEO,G+,Rich=3; z=0.01225
WBL 349,175.472400,15.989300,LEO,G+,Rich=3; z=0.01052
WBL 350,175.544900,10.305900,VIR,G+,Rich=5; z=0.02072
WBL 351,175.701900,26.522500,LEO,G+,Rich=3; z=0.02986
WBL 352,175.894600,10.239100,VIR,G+,Rich=3; z=0.02010
WBL 353,176.073200,19.922400,LEO,G+,Rich=78; z=0.02202
WBL 354,176.079300,33.405800,UMA,G+,Rich=7; z=0.03129
WBL 355,176.265100,-1.694400,VIR,G+,Rich=5; z=0.02765
WBL 356,176.552700,33.122300,UMA,G+,Rich=5; z=0.03299
WBL 357,176.678100,35.005600,UMA,G+,Rich=3; z=0.04805
WBL 358,177.094200,12.705400,LEO,G+,Rich=4; z=0.01354
WBL 359,177.340400,-1.078000,VIR,G+,Rich=3; z=0.02075
WBL 360,177.414800,-3.528000,VIR,G+,Rich=8; z=0.02735
WBL 361,177.557100,50.538700,UMA,G+,Rich=3
WBL 362,177.759500,56.422000,UMA,G+,Rich=3; z=0.00297
WBL 363,178.244500,20.688500,LEO,G+,Rich=4; z=0.02158
WBL 364,178.567100,9.605100,VIR,G+,Rich=3; z=0.03630
WBL 365,178.867200,11.971700,LEO,G+,Rich=3; z=0.02131
WBL 366,179.418400,32.288400,UMA,G+,Rich=3; z=0.01065
WBL 367,179.442900,27.871700,LEO,G+,Rich=3; z=0.01135
WBL 368,179.567400,25.155000,LEO,G+,Rich=13; z=0.01515
WBL 369,180.116300,31.888300,UMA,G+,Rich=3; z=0.02620
WBL 370,180.515300,17.838300,COM,G+,Rich=4; z=0.02305
WBL 371,180.864900,16.505000,COM,G+,Rich=3; z=0.01839
WBL 372,180.990500,1.888300,VIR,G+,Rich=16; z=0.02018
WBL 373,181.163200,31.171700,UMA,G+,Rich=3; z=0.02551
WBL 374,181.189100,20.338300,COM,G+,Rich=19; z=0.02309
WBL 375,181.239800,10.605000,VIR,G+,Rich=4; z=0.00844
WBL 376,181.385800,43.138400,UMA,G+,Rich=3; z=0.00259
WBL 377,181.490900,-2.978300,VIR,G+,Rich=3; z=0.03871
WBL 378,181.637200,28.188400,COM,G+,Rich=4; z=0.02867
WBL 379,181.674800,67.171800,DRA,G+,Rich=3; z=0.00847
WBL 380,181.759100,43.055100,CVN,G+,Rich=3; z=0.00264
WBL 381,181.813400,16.938400,COM,G+,Rich=5; z=0.02273
WBL 382,182.235400,29.238500,COM,G+,Rich=3; z=0.01301
WBL 383,182.631400,39.405200,CVN,G+,Rich=3; z=0.01292
WBL 384,182.736800,17.888500,COM,G+,Rich=3; z=0.02304
WBL 385,183.058200,29.172000,COM,G+,Rich=5; z=0.01073
WBL 386,183.087500,13.205300,VIR,G+,Rich=3; z=0.00691
WBL 387,183.086900,15.355300,COM,G+,Rich=3; z=0.02379
WBL 388,183.786600,13.522100,COM,G+,Rich=3; z=0.00106
WBL 389,183.882900,23.988800,COM,G+,Rich=3; z=0.02259
WBL 390,184.132400,23.905600,COM,G+,Rich=3; z=0.02319
WBL 391,184.413300,6.672300,VIR,G+,Rich=3; z=0.00495
WBL 392,184.838300,5.939100,VIR,G+,Rich=12; z=0.00704
WBL 393,184.912600,7.772500,VIR,G+,Rich=6; z=0.01183
WBL 394,184.928500,28.372500,COM,G+,Rich=5; z=0.02671
WBL 395,184.928300,28.805900,COM,G+,Rich=4; z=0.02536
WBL 396,184.940900,-0.777500,VIR,G+,Rich=3
WBL 397,185.013400,5.389200,VIR,G+,Rich=9; z=0.00827
WBL 398,185.037100,8.605900,VIR,G+,Rich=3; z=0.02461
WBL 399,185.027800,29.272600,COM,G+,Rich=3; z=0.00261
